/content/datasets/cifar10
Files already downloaded and verified
Files already downloaded and verified
Number of 'training' Data:  50000
Number of 'validation' Data:  10000
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    maximize: False
    weight_decay: 0
)
Training Classifier @ Epoch 0: 100% 48/48 [00:20<00:00,  2.36it/s, acc1=25.682, acc2=50.800, loss=1.376, lr=1.00000e-03]
Evaluation Classifier @ Epoch 0: 100% 9/9 [00:02<00:00,  3.78it/s, acc1=27.083, acc2=51.606, loss=1.353]
Training Classifier @ Epoch 1: 100% 48/48 [00:20<00:00,  2.35it/s, acc1=30.505, acc2=54.887, loss=1.328, lr=1.00000e-03]
Evaluation Classifier @ Epoch 1: 100% 9/9 [00:02<00:00,  3.74it/s, acc1=32.617, acc2=56.391, loss=1.282]
Training Classifier @ Epoch 2: 100% 48/48 [00:20<00:00,  2.30it/s, acc1=32.406, acc2=57.029, loss=1.273, lr=1.00000e-03]
Evaluation Classifier @ Epoch 2: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=34.245, acc2=57.368, loss=1.240]
Training Classifier @ Epoch 3: 100% 48/48 [00:21<00:00,  2.28it/s, acc1=34.320, acc2=58.219, loss=1.242, lr=1.00000e-03]
Evaluation Classifier @ Epoch 3: 100% 9/9 [00:02<00:00,  3.68it/s, acc1=34.614, acc2=57.769, loss=1.227]
Training Classifier @ Epoch 4: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=35.286, acc2=59.462, loss=1.220, lr=1.00000e-03]
Evaluation Classifier @ Epoch 4: 100% 9/9 [00:02<00:00,  3.74it/s, acc1=35.786, acc2=60.428, loss=1.207]
Training Classifier @ Epoch 5: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=35.962, acc2=60.203, loss=1.206, lr=1.00000e-03]
Evaluation Classifier @ Epoch 5: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=35.688, acc2=61.122, loss=1.194]
Training Classifier @ Epoch 6: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=36.340, acc2=60.313, loss=1.188, lr=1.00000e-03]
Evaluation Classifier @ Epoch 6: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=36.372, acc2=58.160, loss=1.187]
Training Classifier @ Epoch 7: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=36.861, acc2=61.422, loss=1.171, lr=1.00000e-03]
Evaluation Classifier @ Epoch 7: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=37.023, acc2=61.144, loss=1.158]
Training Classifier @ Epoch 8: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=37.319, acc2=61.648, loss=1.164, lr=1.00000e-03]
Evaluation Classifier @ Epoch 8: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=37.142, acc2=62.565, loss=1.150]
